Question,1,2,3,N,4,N2,5,N3
Albania,1567000000,411233020,234161674,2212394694,2857000,,3928000,
Alemania,105488000000,169407486080,11730000000,286625486080,31545000,,87459000,
Bulgaria,1113000000,360253720,359443706,1832697426,6898000,,3930000,
Croacia,923000000,2113837000,424220832,3461057832,10948000,,2927000,
Dinamarca,10072000000,24432792976,1046943510,35551736486,8557000,,6977000,
España,16434000000,48901280400,4646000000,69981280400,60675000,,11246000,
Francia,5292000000,132920689830,12093000000,150305689830,83634000,,26243000,
Georgia,53420000000,296181340,236705137,53952886477,5392000,,3220000,
Hungría,537000000,5408738268,400666959,6346405227,10624000,,16038000,
India,2526000000,87305232960,5288575284,95119808244,6968000,,16626000,
Israel,13840000000,15732174375,1660166434,31232340809,2962000,,4757000,
Nueva Zelandia,5176000000,10923004454,765403278,16864407732,2629000,,2193000,
Reino Unido,73339000000,140117035401,6029671494,219485706895,31063000,,57792000,
Rumania,2176000000,5454157260,2728897941,10359055201,8019000,,11364000,
Turquía,5253000000,23184427694,4879810539,33317238233,37795000,,7526000,
